Week,March 1 - 7,March 1 - 7,March 1 - 7,March 1 - 7,March 8 - 14,March 8 - 14,March 8 - 14,March 8 - 14,March 15 - 21,March 15 - 21,March 15 - 21,March 15 - 21,March 23 - 28,March 23 - 28,March 23 - 28,March 23 - 28,March 29 - April 4,March 29 - April 4,March 29 - April 4,March 29 - April 4,April 5 - 11,April 5 - 11,April 5 - 11,April 5 - 11,April 12 - 18,April 12 - 18,April 12 - 18,April 12 - 18,April 19 - 25,April 19 - 25,April 19 - 25,April 19 - 25,April 26 - May 2,April 26 - May 2,April 26 - May 2,April 26 - May 2,May 3 - 9,May 3 - 9,May 3 - 9,May 3 - 9,May 10 - 16,May 10 - 16,May 10 - 16,May 10 - 16,May 17 - 23,May 17 - 23,May 17 - 23,May 17 - 23
Gender,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other,Total,Female,Male,Nonbinary/Other
Okanogan County,70,18,52,0,55,15,40,0,289,191,*,*,419,185,234,0,551,249,302,0,366,*,193,*,247,134,*,*,530,290,*,*,382,228,154,0,373,196,*,*,457,*,242,*,157,86,71,0
Pacific County,19,6,13,0,21,6,15,0,161,95,66,0,373,191,*,*,339,163,176,0,218,96,122,0,138,68,70,0,304,136,168,0,241,128,*,*,199,*,104,*,247,112,132,3,90,38,52,0
Pend Oreille County,10,0,10,0,7,*,*,*,63,37,26,0,120,63,57,0,141,50,91,0,126,52,74,0,75,33,42,0,153,84,69,0,95,50,45,0,90,*,*,0,133,63,70,0,47,*,23,*
Pierce County,626,191,435,0,1150,465,681,4,11387,7360,4000,27,16636,7446,9145,45,18010,7923,10036,51,16444,5936,10466,42,8919,4186,4710,23,13451,7018,6397,36,11153,5683,5449,21,12178,5988,6141,49,15780,7393,8318,69,6216,3060,3138,18
San Juan County,7,*,*,*,12,8,4,0,228,157,*,*,360,*,202,*,363,171,189,3,227,85,142,0,152,81,71,0,383,201,*,*,311,182,129,0,187,101,*,*,225,*,118,*,102,54,48,0
Skagit County,73,26,47,0,112,*,71,*,1512,997,509,6,2673,1172,1498,3,2696,1129,1559,8,2345,927,1412,6,1215,552,660,3,1739,917,815,7,1425,754,666,5,1418,732,681,5,1836,856,972,8,731,382,346,3
Skamania County,3,*,*,*,10,6,4,0,144,94,*,*,174,91,*,*,152,82,*,*,115,46,69,0,76,*,39,*,133,73,*,*,107,60,47,0,110,*,59,*,124,68,*,*,38,18,20,0
Snohomish County,495,*,314,*,1057,*,577,*,10830,6872,3921,37,16266,7233,8986,47,17191,7505,9637,49,24299,7913,16310,76,9266,3954,5285,27,12197,5954,6202,41,9618,4689,4897,32,11020,5041,5909,70,14646,6586,7995,65,5556,2605,2931,20
Spokane County,323,89,234,0,358,*,237,*,6756,4017,2720,19,9287,4504,4767,16,9120,4262,4842,16,6845,3095,3739,11,4094,1973,2108,13,6313,3250,3050,13,5385,2616,2752,17,6603,3090,3473,40,8572,4006,4523,43,2897,1483,1405,9
Stevens County,59,9,50,0,39,5,34,0,278,153,*,*,590,*,332,*,595,*,351,*,367,146,221,0,207,*,113,*,544,*,314,*,369,175,194,0,426,*,222,*,555,285,270,0,203,86,117,0
Thurston County,175,38,137,0,267,111,153,3,3628,2260,1330,38,5232,2424,2778,30,4901,2247,2620,34,3449,1482,1943,24,2324,1155,1159,10,4087,2108,1949,30,3273,1684,1568,21,3708,1772,1906,30,5146,2470,2646,30,1720,847,860,13
Wahkiakum County,*,*,*,*,*,*,*,*,13,7,6,0,21,14,7,0,35,20,15,0,30,14,16,0,21,8,13,0,44,22,22,0,27,12,15,0,34,14,20,0,39,18,21,0,14,7,7,0
Walla Walla County,24,12,12,0,33,12,21,0,574,358,*,*,703,*,375,*,792,415,*,*,422,*,223,*,290,151,*,*,520,293,*,*,458,*,229,*,630,284,343,3,855,*,467,*,289,153,*,*
Whatcom County,127,*,73,*,187,*,112,*,3508,2122,1369,17,4909,2181,2705,23,4824,2197,2608,19,3355,1477,1870,8,2156,1033,1115,8,3496,1755,1728,13,2828,1365,1449,14,2761,1232,1516,13,3639,1636,1978,25,1390,674,709,7
Whitman County,6,*,*,*,8,*,*,0,218,118,*,*,278,166,112,0,338,177,*,*,213,105,108,0,170,105,*,*,276,153,*,*,284,152,132,0,425,*,220,*,785,*,431,*,187,97,90,0
Yakima County,230,113,117,0,198,77,121,0,2142,1356,*,*,3303,*,1768,*,3275,1638,1628,9,2606,1405,1198,3,1781,973,804,4,2802,1580,1215,7,2425,1350,1068,7,2796,1453,1336,7,3714,1870,1837,7,1664,888,*,*
Out of State,363,*,262,*,546,*,381,*,4017,*,1751,*,6084,2518,3541,25,6836,2761,4047,28,5524,2081,3430,13,3743,1620,2111,12,4430,1951,2469,10,4870,2289,2566,15,5114,2289,2792,33,6764,2997,3722,45,2803,1274,1517,12
State Total,5038,1761,3267,10,10401,4543,5804,54,95572,58326,36818,428,130424,60263,69711,450,136929,62656,73779,494,120372,48276,71716,380,67452,32044,35153,255,105528,53160,52007,361,89442,44098,45017,327,103529,47874,55069,586,134938,61376,72918,644,47480,23134,24176,170
Not Disclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
