fert,noninh,fertsub,hh_landaccess,numadults,district,hh_couple,sea_group,hh_number_cattle,hh_aindex,female_agriculture
0,0,1,0.5,5.455,101,0,5,0,-0.4916630983352661,1
0,0,1,0.375,5.779999999999999,602,1,207,0,-0.4916630983352661,1
0,0,1,4.25,12.52,611,1,267,0,0.27648866176605225,1
0,0,1,0.125,4.8999999999999995,204,1,47,0,0.7799348831176758,1
0,0,0,0.25,2.7,606,1,234,0,-0.4916630983352661,1
0,0,0,0.8125,5.52,606,1,230,0,-0.4916630983352661,1
0,0,1,7.625,1.6400000000000001,608,0,246,0,-0.36882948875427246,1
0,0,0,0.25,2.28,406,1,168,0,-0.31670427322387695,1
0,0,1,0.25,4.32,605,1,227,0,0.7799348831176758,1
300,0,1,1,1.58,605,1,227,0,-0.4916630983352661,1
0,1,1,0.75,1.88,606,0,233,0,-0.4916630983352661,1
0,1,1,1.5,4.8933333333333335,608,0,245,0,-0.1938706636428833,1
0,1,0,9.125,5.546666666666667,609,1,258,0,-0.36882948875427246,1
600,0,1,4.75,4.49,202,1,43,0,-0.1938706636428833,1
0,0,0,0.5,5.77,611,1,270,0,-0.36882948875427246,1
3200,0,0,22.75,11.3,609,1,255,0,0.31841525435447693,1
0,0,1,4.125,8.793333333333333,405,1,163,0,-0.31670427322387695,1
800,0,0,5.25,7.183333333333334,604,1,220,0,-0.1938706636428833,1
0,0,1,5.25,5.494999999999999,602,0,207,0,-0.1938706636428833,1
400,0,1,1.5,4.5,207,1,56,0,0.9027684926986694,1
0,0,1,0,3.26,204,1,47,0,4.848924160003662,1
0,0,0,0.875,2.5,611,1,271,0,-0.24599586427211761,1
0,0,1,0.75,2.42,606,1,231,0,-0.1938706636428833,1
0,0,0,3.375,4.5200000000000005,606,1,236,0,-0.36882948875427246,1
50,0,1,2.0925000000000002,6.85,209,1,64,0,0.28221169114112854,1
0,0,1,0.625,1.62,611,0,267,0,-0.4916630983352661,1
300,1,1,3.5,5.453333333333333,605,1,226,0,-0.31670427322387695,1
0,0,0,1.75,5.4799999999999995,406,1,170,0,-0.1938706636428833,1
0,1,0,21.375,3.8116666666666665,604,1,218,0,-0.4916630983352661,1
0,0,0,0.75,2.36,606,1,230,0,0.1536550521850586,1
0,0,1,1.1875,4.33,608,1,247,0,-0.31670427322387695,1
0,0,1,1.875,3.66,605,1,227,0,-0.07103703171014786,1
0,0,1,1.625,3.76,608,1,246,0,-0.07103703171014786,1
100,0,1,1.5,8.44,602,1,208,0,-0.1938706636428833,1
